Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2023-09-20,3.7,3.7,29,23.1,13.8,13.8,29.9,23.4,20.3,20.3,29,22.5,No
2023-09-21,13.8,13.8,29.9,23.4,31.4,31.4,28.9,23.1,3.7,3.7,29,23.1,No
2023-09-22,31.4,31.4,28.9,23.1,32.2,32.2,29.5,22.6,13.8,13.8,29.9,23.4,No
2023-09-23,32.2,32.2,29.5,22.6,7.8,7.8,29.9,23.2,31.4,31.4,28.9,23.1,No
2023-09-24,7.8,7.8,29.9,23.2,20.5,20.5,28.7,22.9,32.2,32.2,29.5,22.6,No
2023-09-25,20.5,20.5,28.7,22.9,17.5,17.5,29.3,23.5,7.8,7.8,29.9,23.2,No
2023-09-26,17.5,17.5,29.3,23.5,4.9,4.9,29.6,23.3,20.5,20.5,28.7,22.9,No
2023-09-27,4.9,4.9,29.6,23.3,30.1,30.1,26.9,23.1,17.5,17.5,29.3,23.5,No
2023-09-28,30.1,30.1,26.9,23.1,26.4,26.4,25.6,22.9,4.9,4.9,29.6,23.3,No
2023-09-29,26.4,26.4,25.6,22.9,32.9,32.9,26.5,22.5,30.1,30.1,26.9,23.1,No
2023-09-30,32.9,32.9,26.5,22.5,14.4,14.4,30.1,24.6,26.4,26.4,25.6,22.9,No
